Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed,
31,11-01-2020 04:00,01-09-2020 12:00,10-01-2020 02:34,Hyderabad,340,SHOPLIFTING,59,F,Knife,Other Crime,13,No,,
32,11-01-2020 11:00,01-10-2020 23:00,11-01-2020 11:41,Hyderabad,466,FIREARM OFFENSE,51,F,Knife,Fire Accident,13,No,,
33,11-01-2020 15:00,01-10-2020 01:00,10-01-2020 23:36,Surat,561,FRAUD,49,F,Knife,Other Crime,18,No,,
34,11-01-2020 19:00,01-11-2020 17:00,11-01-2020 17:21,Ahmedabad,402,IDENTITY THEFT,22,F,Knife,Violent Crime,18,No,,
35,12-01-2020 02:00,01-10-2020 21:00,11-01-2020 04:23,Chennai,583,CYBERCRIME,35,M,Knife,Other Crime,4,No,,
36,12-01-2020 11:00,01-10-2020 03:00,10-01-2020 17:27,Nagpur,563,BURGLARY,68,F,Knife,Other Crime,18,No,,
37,12-01-2020 13:00,01-10-2020 20:00,11-01-2020 06:53,Visakhapatnam,561,CYBERCRIME,23,M,Knife,Other Crime,7,No,,
38,12-01-2020 14:00,01-11-2020 00:00,11-01-2020 00:34,Mumbai,402,COUNTERFEITING,35,F,Knife,Other Crime,17,No,,
39,12-01-2020 14:00,01-12-2020 04:00,12-01-2020 08:35,Surat,590,ROBBERY,71,M,Knife,Violent Crime,10,No,,
40,13-01-2020 00:00,01-12-2020 08:00,12-01-2020 11:51,Delhi,584,IDENTITY THEFT,36,M,Knife,Violent Crime,3,No,,
41,13-01-2020 17:00,01-13-2020 07:00,13-01-2020 13:14,Kolkata,262,VANDALISM,62,M,Knife,Other Crime,4,No,,
42,13-01-2020 22:00,01-11-2020 09:00,11-01-2020 21:57,Nagpur,164,EXTORTION,11,F,Knife,Other Crime,17,No,,
43,14-01-2020 07:00,01-11-2020 10:00,12-01-2020 02:39,Delhi,342,FIREARM OFFENSE,45,F,Knife,Fire Accident,13,No,,
44,14-01-2020 09:00,01-12-2020 14:00,13-01-2020 04:56,Chennai,410,TRAFFIC VIOLATION,58,M,Knife,Traffic Fatality,8,No,,
45,14-01-2020 10:00,01-12-2020 03:00,12-01-2020 23:31,Kanpur,508,KIDNAPPING,16,F,Knife,Other Crime,8,No,,
46,14-01-2020 16:00,01-12-2020 11:00,13-01-2020 06:07,Ahmedabad,546,ASSAULT,21,M,Knife,Violent Crime,1,No,,
47,14-01-2020 20:00,01-14-2020 03:00,14-01-2020 19:05,Delhi,361,BURGLARY,42,M,Knife,Other Crime,11,No,,
48,15-01-2020 03:00,01-13-2020 19:00,14-01-2020 07:24,Indore,282,COUNTERFEITING,66,F,Knife,Other Crime,5,No,,
49,15-01-2020 05:00,01-12-2020 13:00,12-01-2020 13:29,Bhopal,254,TRAFFIC VIOLATION,44,F,Knife,Traffic Fatality,7,No,,
50,15-01-2020 07:00,01-13-2020 10:00,14-01-2020 04:55,Srinagar,513,SEXUAL ASSAULT,40,F,Knife,Violent Crime,1,No,,
51,15-01-2020 07:00,01-14-2020 16:00,15-01-2020 02:16,Mumbai,187,ARSON,70,M,Knife,Fire Accident,7,No,,
52,15-01-2020 10:00,01-14-2020 06:00,14-01-2020 13:56,Lucknow,330,VANDALISM,79,F,Knife,Other Crime,13,No,,
53,15-01-2020 19:00,01-15-2020 00:00,15-01-2020 15:06,Delhi,574,COUNTERFEITING,53,F,Knife,Other Crime,7,No,,
54,16-01-2020 19:00,01-15-2020 18:00,16-01-2020 00:09,Nashik,226,HOMICIDE,54,F,Knife,Other Crime,8,No,,
55,16-01-2020 20:00,01-15-2020 22:00,16-01-2020 18:11,Lucknow,503,ASSAULT,31,F,Knife,Violent Crime,3,No,,
56,17-01-2020 06:00,01-15-2020 11:00,16-01-2020 05:33,Delhi,277,ILLEGAL POSSESSION,55,M,Knife,Other Crime,13,No,,
57,17-01-2020 08:00,01-15-2020 04:00,15-01-2020 16:24,Pune,101,ROBBERY,14,F,Knife,Violent Crime,12,No,,
58,17-01-2020 10:00,01-15-2020 10:00,16-01-2020 09:08,Mumbai,236,DOMESTIC VIOLENCE,76,F,Knife,Violent Crime,14,No,,
59,17-01-2020 21:00,01-17-2020 10:00,17-01-2020 22:19,Ahmedabad,324,SHOPLIFTING,65,F,Knife,Other Crime,4,No,,
60,18-01-2020 07:00,01-16-2020 14:00,16-01-2020 20:37,Delhi,510,DRUG OFFENSE,28,F,Knife,Other Crime,11,No,,
61,19-01-2020 05:00,01-17-2020 09:00,18-01-2020 04:19,Mumbai,524,CYBERCRIME,56,M,Knife,Other Crime,9,No,,
62,19-01-2020 06:00,01-18-2020 15:00,19-01-2020 03:08,Mumbai,342,TRAFFIC VIOLATION,40,F,Knife,Traffic Fatality,19,No,,
63,19-01-2020 08:00,01-16-2020 13:00,16-01-2020 13:15,Meerut,552,DOMESTIC VIOLENCE,36,F,Knife,Violent Crime,8,No,,
64,19-01-2020 12:00,01-17-2020 07:00,17-01-2020 17:42,Delhi,409,ILLEGAL POSSESSION,54,F,Knife,Other Crime,17,No,,
65,19-01-2020 22:00,01-17-2020 15:00,18-01-2020 09:27,Mumbai,120,TRAFFIC VIOLATION,67,F,Knife,Traffic Fatality,19,No,,
66,20-01-2020 06:00,01-17-2020 18:00,17-01-2020 23:02,Kolkata,505,COUNTERFEITING,52,M,Knife,Other Crime,15,No,,
67,20-01-2020 09:00,01-18-2020 06:00,18-01-2020 07:58,Patna,371,VEHICLE - STOLEN,52,F,Knife,Violent Crime,2,No,,
68,20-01-2020 14:00,01-18-2020 03:00,18-01-2020 20:04,Mumbai,129,KIDNAPPING,46,M,Knife,Other Crime,17,No,,
69,20-01-2020 15:00,01-18-2020 13:00,18-01-2020 17:06,Chennai,367,BURGLARY,33,F,Knife,Other Crime,1,No,,
70,20-01-2020 22:00,01-18-2020 22:00,19-01-2020 05:59,Jaipur,232,IDENTITY THEFT,14,F,Knife,Violent Crime,9,No,,
71,21-01-2020 02:00,01-18-2020 09:00,19-01-2020 04:50,Delhi,342,ROBBERY,36,M,Knife,Violent Crime,2,No,,
72,21-01-2020 05:00,01-20-2020 13:00,21-01-2020 08:13,Ghaziabad,576,TRAFFIC VIOLATION,72,F,Knife,Traffic Fatality,15,No,,
73,21-01-2020 14:00,01-21-2020 12:00,21-01-2020 17:40,Ahmedabad,283,VANDALISM,54,F,Knife,Other Crime,13,No,,
74,22-01-2020 00:00,01-19-2020 14:00,19-01-2020 19:39,Surat,567,KIDNAPPING,35,F,Knife,Other Crime,4,No,,
75,22-01-2020 02:00,01-21-2020 19:00,21-01-2020 21:10,Chennai,580,ARSON,67,F,Knife,Fire Accident,3,No,,
76,22-01-2020 03:00,01-20-2020 20:00,21-01-2020 13:05,Hyderabad,201,ROBBERY,47,M,Knife,Violent Crime,9,No,,
77,22-01-2020 09:00,01-19-2020 21:00,19-01-2020 21:25,Mumbai,192,CYBERCRIME,70,F,Knife,Other Crime,13,No,,
78,22-01-2020 12:00,01-21-2020 10:00,21-01-2020 12:19,Chennai,510,SHOPLIFTING,60,M,Knife,Other Crime,3,No,,
79,22-01-2020 15:00,01-20-2020 23:00,21-01-2020 09:13,Kolkata,471,BURGLARY,54,F,Knife,Other Crime,17,No,,
80,22-01-2020 16:00,01-20-2020 22:00,21-01-2020 01:20,Meerut,398,SHOPLIFTING,57,M,Knife,Other Crime,17,No,,
81,22-01-2020 23:00,01-20-2020 00:00,20-01-2020 03:37,Pune,421,VANDALISM,62,M,Knife,Other Crime,18,No,,
82,23-01-2020 05:00,01-20-2020 12:00,21-01-2020 01:02,Patna,471,ARSON,74,F,Knife,Fire Accident,1,No,,
83,23-01-2020 23:00,01-21-2020 05:00,21-01-2020 08:40,Ghaziabad,380,BURGLARY,15,M,Knife,Other Crime,17,No,,
84,23-01-2020 23:00,01-21-2020 03:00,21-01-2020 12:24,Surat,423,FRAUD,17,M,Knife,Other Crime,9,No,,
85,24-01-2020 00:00,01-23-2020 10:00,23-01-2020 22:59,Mumbai,273,ILLEGAL POSSESSION,52,M,Knife,Other Crime,3,No,,
86,24-01-2020 06:00,01-22-2020 00:00,22-01-2020 00:46,Nagpur,334,CYBERCRIME,62,F,Knife,Other Crime,6,No,,
87,24-01-2020 08:00,01-23-2020 17:00,24-01-2020 03:30,Kolkata,181,BURGLARY,14,F,Knife,Other Crime,2,No,,
88,24-01-2020 08:00,01-23-2020 04:00,23-01-2020 20:01,Rajkot,403,HOMICIDE,49,M,Knife,Other Crime,16,No,,
89,24-01-2020 18:00,01-23-2020 00:00,23-01-2020 15:02,Hyderabad,407,VANDALISM,43,F,Knife,Other Crime,7,No,,
90,24-01-2020 22:00,01-24-2020 16:00,25-01-2020 14:23,Mumbai,474,FIREARM OFFENSE,67,F,Knife,Fire Accident,13,No,,
91,25-01-2020 06:00,01-23-2020 22:00,24-01-2020 20:11,Mumbai,262,ILLEGAL POSSESSION,61,F,Knife,Other Crime,3,No,,
92,25-01-2020 07:00,01-22-2020 09:00,22-01-2020 22:27,Nashik,510,COUNTERFEITING,62,M,Knife,Other Crime,6,No,,
93,25-01-2020 08:00,01-25-2020 00:00,25-01-2020 11:51,Hyderabad,224,VEHICLE - STOLEN,51,F,Knife,Violent Crime,11,No,,
94,25-01-2020 16:00,01-23-2020 19:00,23-01-2020 22:12,Chennai,384,ASSAULT,73,F,Knife,Violent Crime,1,No,,
95,25-01-2020 18:00,01-25-2020 03:00,25-01-2020 08:53,Ludhiana,154,FIREARM OFFENSE,56,F,Knife,Fire Accident,13,No,,
96,25-01-2020 20:00,01-24-2020 01:00,24-01-2020 16:03,Pune,351,TRAFFIC VIOLATION,36,M,Knife,Traffic Fatality,18,No,,
97,25-01-2020 23:00,01-24-2020 00:00,24-01-2020 16:52,Mumbai,377,ROBBERY,79,F,Knife,Violent Crime,9,No,,
98,26-01-2020 03:00,01-23-2020 15:00,24-01-2020 08:10,Jaipur,195,PUBLIC INTOXICATION,24,F,Knife,Other Crime,3,No,,
99,26-01-2020 03:00,01-24-2020 13:00,25-01-2020 00:19,Chennai,514,KIDNAPPING,48,M,Knife,Other Crime,9,No,,
100,26-01-2020 04:00,01-25-2020 16:00,26-01-2020 14:05,Bangalore,452,CYBERCRIME,65,F,Knife,Other Crime,8,No,,
101,26-01-2020 12:00,01-25-2020 21:00,26-01-2020 11:18,Chennai,337,TRAFFIC VIOLATION,35,F,Knife,Traffic Fatality,16,No,,
102,26-01-2020 13:00,01-26-2020 09:00,26-01-2020 10:59,Mumbai,232,EXTORTION,38,F,Knife,Other Crime,15,No,,
103,27-01-2020 07:00,01-25-2020 12:00,26-01-2020 11:49,Nagpur,299,SHOPLIFTING,65,F,Knife,Other Crime,2,No,,
104,27-01-2020 11:00,01-26-2020 18:00,27-01-2020 16:50,Bangalore,402,COUNTERFEITING,25,M,Knife,Other Crime,18,No,,
105,27-01-2020 14:00,01-26-2020 16:00,27-01-2020 08:53,Delhi,120,PUBLIC INTOXICATION,51,M,Knife,Other Crime,13,No,,
106,27-01-2020 19:00,01-25-2020 13:00,25-01-2020 21:28,Jaipur,572,KIDNAPPING,53,F,Knife,Other Crime,5,No,,
107,28-01-2020 06:00,01-28-2020 02:00,28-01-2020 05:13,Chennai,431,VANDALISM,62,M,Knife,Other Crime,9,No,,
108,28-01-2020 10:00,01-26-2020 04:00,26-01-2020 17:06,Bangalore,297,TRAFFIC VIOLATION,78,F,Knife,Traffic Fatality,15,No,,
109,28-01-2020 14:00,01-26-2020 11:00,26-01-2020 16:22,Pune,514,FRAUD,32,F,Knife,Other Crime,6,No,,
110,28-01-2020 19:00,01-27-2020 17:00,28-01-2020 08:20,Bangalore,354,DRUG OFFENSE,75,F,Knife,Other Crime,5,No,,
111,29-01-2020 00:00,01-27-2020 21:00,28-01-2020 16:45,Hyderabad,529,ASSAULT,37,F,Knife,Violent Crime,16,No,,
112,29-01-2020 01:00,01-26-2020 02:00,26-01-2020 17:23,Mumbai,287,ROBBERY,41,F,Knife,Violent Crime,6,No,,
113,29-01-2020 02:00,01-28-2020 16:00,29-01-2020 15:07,Ghaziabad,168,SHOPLIFTING,54,F,Knife,Other Crime,19,No,,
114,29-01-2020 03:00,01-28-2020 10:00,28-01-2020 16:40,Kolkata,264,IDENTITY THEFT,70,F,Knife,Violent Crime,17,No,,
115,29-01-2020 09:00,01-27-2020 08:00,27-01-2020 21:26,Agra,267,CYBERCRIME,60,F,Knife,Other Crime,8,No,,
116,29-01-2020 14:00,01-28-2020 09:00,29-01-2020 01:49,Kanpur,447,VEHICLE - STOLEN,40,F,Knife,Violent Crime,12,No,,
117,29-01-2020 15:00,01-28-2020 18:00,29-01-2020 17:53,Chennai,278,IDENTITY THEFT,71,M,Knife,Violent Crime,16,No,,
118,29-01-2020 23:00,01-27-2020 10:00,27-01-2020 11:07,Chennai,379,SHOPLIFTING,28,F,Knife,Other Crime,10,No,,
119,30-01-2020 03:00,01-29-2020 16:00,30-01-2020 01:28,Mumbai,361,ARSON,62,M,Knife,Fire Accident,17,No,,
120,30-01-2020 07:00,01-29-2020 01:00,29-01-2020 23:53,Bangalore,396,KIDNAPPING,56,F,Knife,Other Crime,13,No,,
121,30-01-2020 07:00,01-29-2020 11:00,30-01-2020 02:14,Mumbai,489,BURGLARY,24,F,Knife,Other Crime,5,No,,
122,30-01-2020 08:00,01-29-2020 23:00,30-01-2020 13:11,Ahmedabad,418,DOMESTIC VIOLENCE,50,M,Knife,Violent Crime,14,No,,
123,30-01-2020 11:00,01-28-2020 06:00,29-01-2020 03:24,Kanpur,495,EXTORTION,30,M,Knife,Other Crime,6,No,,
124,30-01-2020 18:00,01-29-2020 04:00,30-01-2020 02:28,Jaipur,587,FIREARM OFFENSE,36,F,Knife,Fire Accident,4,No,,
125,30-01-2020 18:00,01-27-2020 20:00,28-01-2020 18:11,Hyderabad,129,ASSAULT,43,F,Knife,Violent Crime,13,No,,
126,31-01-2020 00:00,01-30-2020 15:00,31-01-2020 06:37,Chennai,599,SHOPLIFTING,32,M,Knife,Other Crime,3,No,,
127,31-01-2020 13:00,01-30-2020 07:00,30-01-2020 07:26,Kolkata,302,VANDALISM,79,M,Knife,Other Crime,6,No,,
128,31-01-2020 16:00,01-31-2020 01:00,31-01-2020 11:31,Bangalore,403,ARSON,46,F,Knife,Fire Accident,13,No,,
129,01-02-2020 02:00,01-30-2020 09:00,30-01-2020 23:54,Chennai,148,SEXUAL ASSAULT,29,F,Knife,Violent Crime,17,No,,
130,01-02-2020 05:00,01-31-2020 03:00,01-02-2020 02:17,Patna,254,ROBBERY,21,M,Knife,Violent Crime,9,No,,
131,01-02-2020 05:00,01-29-2020 22:00,30-01-2020 19:49,Kanpur,453,ROBBERY,52,F,Knife,Violent Crime,15,No,,
132,01-02-2020 12:00,01-30-2020 03:00,30-01-2020 12:50,Hyderabad,592,FRAUD,17,F,Knife,Other Crime,10,No,,
133,01-02-2020 19:00,01-30-2020 06:00,30-01-2020 21:37,Visakhapatnam,301,ROBBERY,28,F,Knife,Violent Crime,15,No,,
134,02-02-2020 03:00,02-01-2020 22:00,02-02-2020 20:28,Chennai,129,ARSON,69,F,Knife,Fire Accident,5,No,,
135,02-02-2020 11:00,01-31-2020 14:00,01-02-2020 06:43,Delhi,337,ROBBERY,27,M,Knife,Violent Crime,2,No,,
136,02-02-2020 13:00,02-02-2020 03:00,02-02-2020 14:41,Mumbai,543,VANDALISM,51,F,Knife,Other Crime,11,No,,
137,02-02-2020 20:00,02-02-2020 19:00,03-02-2020 14:40,Nagpur,260,ILLEGAL POSSESSION,46,M,Knife,Other Crime,18,No,,
138,03-02-2020 00:00,02-02-2020 01:00,02-02-2020 15:48,Patna,359,EXTORTION,17,M,Knife,Other Crime,5,No,,
139,03-02-2020 01:00,02-01-2020 08:00,01-02-2020 09:13,Hyderabad,357,ILLEGAL POSSESSION,20,F,Knife,Other Crime,16,No,,
140,03-02-2020 03:00,02-01-2020 06:00,01-02-2020 20:12,Hyderabad,193,VEHICLE - STOLEN,51,M,Knife,Violent Crime,13,No,,
141,03-02-2020 11:00,02-01-2020 00:00,01-02-2020 23:29,Bangalore,439,FRAUD,43,F,Knife,Other Crime,3,No,,
142,03-02-2020 12:00,02-02-2020 14:00,03-02-2020 11:15,Delhi,241,DRUG OFFENSE,35,F,Knife,Other Crime,14,No,,
143,03-02-2020 16:00,02-01-2020 01:00,02-02-2020 00:22,Delhi,242,FRAUD,12,F,Knife,Other Crime,16,No,,
144,03-02-2020 21:00,02-01-2020 02:00,01-02-2020 13:00,Hyderabad,355,SHOPLIFTING,22,M,Knife,Other Crime,6,No,,
145,04-02-2020 09:00,02-04-2020 08:00,04-02-2020 17:08,Ghaziabad,351,COUNTERFEITING,54,M,Knife,Other Crime,7,No,,
146,04-02-2020 22:00,02-02-2020 12:00,02-02-2020 14:41,Kolkata,405,ILLEGAL POSSESSION,45,F,Knife,Other Crime,6,No,,
147,04-02-2020 22:00,02-04-2020 07:00,04-02-2020 16:15,Kolkata,331,BURGLARY,65,M,Knife,Other Crime,13,No,,
148,05-02-2020 07:00,02-04-2020 01:00,04-02-2020 11:08,Hyderabad,204,ASSAULT,67,F,Knife,Violent Crime,4,No,,
149,05-02-2020 17:00,02-03-2020 06:00,03-02-2020 18:46,Hyderabad,272,TRAFFIC VIOLATION,23,F,Knife,Traffic Fatality,17,No,,
150,05-02-2020 19:00,02-03-2020 16:00,04-02-2020 00:37,Surat,566,CYBERCRIME,53,M,Knife,Other Crime,11,No,,
151,05-02-2020 22:00,02-05-2020 10:00,06-02-2020 05:37,Mumbai,161,FIREARM OFFENSE,49,M,Knife,Fire Accident,1,No,,
152,06-02-2020 03:00,02-04-2020 18:00,05-02-2020 09:03,Hyderabad,433,SEXUAL ASSAULT,36,F,Knife,Violent Crime,13,No,,
153,06-02-2020 03:00,02-04-2020 00:00,04-02-2020 13:14,Kanpur,234,VEHICLE - STOLEN,16,F,Knife,Violent Crime,5,No,,
154,06-02-2020 07:00,02-05-2020 20:00,06-02-2020 07:48,Nashik,569,DOMESTIC VIOLENCE,45,F,Knife,Violent Crime,5,No,,
155,06-02-2020 11:00,02-04-2020 20:00,05-02-2020 01:22,Pune,442,ARSON,28,F,Knife,Fire Accident,1,No,,
156,06-02-2020 17:00,02-04-2020 06:00,04-02-2020 20:28,Kolkata,340,ASSAULT,34,F,Knife,Violent Crime,8,No,,
157,07-02-2020 04:00,02-05-2020 19:00,06-02-2020 08:52,Kanpur,269,KIDNAPPING,12,M,Knife,Other Crime,9,No,,
158,07-02-2020 05:00,02-06-2020 03:00,06-02-2020 05:16,Mumbai,545,VANDALISM,22,F,Knife,Other Crime,4,No,,
159,07-02-2020 08:00,02-06-2020 07:00,07-02-2020 00:30,Bangalore,548,IDENTITY THEFT,60,F,Knife,Violent Crime,12,No,,
160,07-02-2020 20:00,02-05-2020 15:00,06-02-2020 01:03,Mumbai,451,VANDALISM,38,F,Knife,Other Crime,13,No,,
161,08-02-2020 19:00,02-08-2020 09:00,08-02-2020 12:26,Delhi,270,HOMICIDE,30,F,Knife,Other Crime,10,No,,
162,08-02-2020 20:00,02-06-2020 11:00,07-02-2020 03:46,Chennai,370,ILLEGAL POSSESSION,65,M,Knife,Other Crime,10,No,,
163,08-02-2020 22:00,02-07-2020 03:00,07-02-2020 08:45,Kolkata,306,ROBBERY,31,M,Knife,Violent Crime,1,No,,
164,08-02-2020 23:00,02-07-2020 23:00,08-02-2020 08:12,Ludhiana,212,EXTORTION,25,F,Knife,Other Crime,6,No,,
165,08-02-2020 23:00,02-08-2020 03:00,08-02-2020 11:57,Kolkata,400,KIDNAPPING,30,F,Knife,Other Crime,7,No,,
166,09-02-2020 12:00,02-09-2020 09:00,09-02-2020 09:06,Pune,350,CYBERCRIME,25,F,Knife,Other Crime,15,No,,
167,10-02-2020 10:00,02-09-2020 02:00,09-02-2020 17:43,Chennai,207,DOMESTIC VIOLENCE,58,M,Knife,Violent Crime,6,No,,
168,10-02-2020 19:00,02-07-2020 22:00,08-02-2020 21:04,Mumbai,376,BURGLARY,27,M,Knife,Other Crime,1,No,,
169,11-02-2020 00:00,02-08-2020 20:00,09-02-2020 08:06,Surat,449,EXTORTION,52,F,Knife,Other Crime,4,No,,
170,11-02-2020 02:00,02-08-2020 22:00,09-02-2020 15:27,Kolkata,498,FIREARM OFFENSE,16,F,Knife,Fire Accident,9,No,,
171,11-02-2020 12:00,02-10-2020 16:00,11-02-2020 00:48,Lucknow,169,DRUG OFFENSE,66,F,Knife,Other Crime,4,No,,
172,11-02-2020 22:00,02-09-2020 18:00,10-02-2020 01:40,Delhi,516,SHOPLIFTING,20,M,Knife,Other Crime,10,No,,
173,12-02-2020 09:00,02-11-2020 09:00,12-02-2020 04:32,Mumbai,113,ASSAULT,72,F,Knife,Violent Crime,10,No,,
174,13-02-2020 03:00,02-12-2020 21:00,13-02-2020 18:33,Bhopal,219,COUNTERFEITING,52,M,Knife,Other Crime,8,No,,
175,13-02-2020 06:00,02-12-2020 22:00,13-02-2020 19:49,Delhi,546,VANDALISM,27,M,Knife,Other Crime,9,No,,
176,13-02-2020 06:00,02-11-2020 11:00,12-02-2020 02:19,Kolkata,198,DRUG OFFENSE,30,F,Knife,Other Crime,1,No,,
177,13-02-2020 16:00,02-10-2020 21:00,11-02-2020 07:58,Nagpur,488,FRAUD,60,F,Knife,Other Crime,9,No,,
178,13-02-2020 19:00,02-12-2020 09:00,12-02-2020 13:02,Pune,337,HOMICIDE,55,M,Knife,Other Crime,18,No,,
179,13-02-2020 23:00,02-13-2020 06:00,13-02-2020 17:13,Kolkata,138,IDENTITY THEFT,56,M,Knife,Violent Crime,13,No,,
180,14-02-2020 19:00,02-13-2020 03:00,14-02-2020 01:48,Ahmedabad,199,TRAFFIC VIOLATION,41,F,Knife,Traffic Fatality,13,No,,
181,14-02-2020 22:00,02-13-2020 14:00,14-02-2020 10:03,Mumbai,508,HOMICIDE,66,F,Knife,Other Crime,12,No,,
182,15-02-2020 08:00,02-13-2020 05:00,13-02-2020 21:07,Pune,156,IDENTITY THEFT,73,M,Knife,Violent Crime,11,No,,
183,15-02-2020 17:00,02-14-2020 02:00,14-02-2020 19:24,Patna,235,SHOPLIFTING,13,M,Knife,Other Crime,3,No,,
184,15-02-2020 20:00,02-13-2020 10:00,14-02-2020 00:27,Ghaziabad,213,IDENTITY THEFT,36,F,Knife,Violent Crime,12,No,,
185,16-02-2020 02:00,02-15-2020 13:00,16-02-2020 05:38,Kanpur,528,KIDNAPPING,36,M,Knife,Other Crime,18,No,,
186,16-02-2020 03:00,02-14-2020 00:00,14-02-2020 00:13,Hyderabad,280,HOMICIDE,16,F,Knife,Other Crime,7,No,,
187,16-02-2020 10:00,02-14-2020 14:00,15-02-2020 06:30,Ahmedabad,126,IDENTITY THEFT,35,F,Knife,Violent Crime,7,No,,
188,16-02-2020 20:00,02-16-2020 10:00,17-02-2020 00:45,Meerut,344,SEXUAL ASSAULT,40,M,Knife,Violent Crime,2,No,,
189,16-02-2020 22:00,02-14-2020 10:00,15-02-2020 04:21,Lucknow,342,ROBBERY,31,F,Knife,Violent Crime,2,No,,
